codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,ocorrencia_dia_hora
45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,3.0,2012-01-06 13:44:00
50713,50713,INCIDENTE GRAVE,CAMPINAS,SP,SDAI,2012-01-07,18:15:00,0.0,2012-01-07 18:15:00
52244,52244,INCIDENTE,UBERLÂNDIA,MG,SBUL,2012-01-08,22:13:00,0.0,2012-01-08 22:13:00
52247,52247,INCIDENTE,BELO HORIZONTE,MG,SBPR,2012-01-18,13:10:00,0.0,2012-01-18 13:10:00
45410,45410,ACIDENTE,BRAGANÇA PAULISTA,SP,SDVH,2012-01-21,23:30:00,0.0,2012-01-21 23:30:00
52241,52241,INCIDENTE GRAVE,UBERLÂNDIA,MG,SBUL,2012-01-21,20:45:00,0.0,2012-01-21 20:45:00
52248,52248,INCIDENTE,SÃO PAULO,SP,SBMT,2012-01-21,11:15:00,0.0,2012-01-21 11:15:00
45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,0.0,2012-01-22 20:25:00
52053,52053,INCIDENTE,VITÓRIA,ES,SBVT,2012-01-25,13:36:00,0.0,2012-01-25 13:36:00
52054,52054,INCIDENTE,SÃO PAULO,SP,SBMT,2012-01-25,23:00:00,0.0,2012-01-25 23:00:00
45802,45802,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-01-26,17:00:00,0.0,2012-01-26 17:00:00
45703,45703,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2012-02-03,2:04:00,0.0,2012-02-03 02:04:00
45469,45469,INCIDENTE,PIRACICABA,SP,SDPW,2012-02-06,20:45:00,0.0,2012-02-06 20:45:00
45699,45699,INCIDENTE,SÃO PAULO,SP,SBSP,2012-02-06,18:44:00,0.0,2012-02-06 18:44:00
45524,45524,ACIDENTE,JUNDIAÍ,SP,SBJD,2012-02-07,16:10:00,0.0,2012-02-07 16:10:00
45656,45656,INCIDENTE,JUNDIAÍ,SP,SBJD,2012-02-07,20:50:00,0.0,2012-02-07 20:50:00
45678,45678,INCIDENTE,BELO HORIZONTE,MG,SBPR,2012-02-10,22:05:00,0.0,2012-02-10 22:05:00
